Title,Condition,Material,Frame Size,Wheel Size,Front Travel,Rear Travel,Price,City,State/Prov,Country,Description
2019 Yeti SB6 Turq,Excellent,Carbon Fiber,M,275  650B,170 mm,150 mm,5000 CAD,Exeter , Ontario , Canada,Drivetrain SRAM 1x12 spdWeight 28 lbs 11 ozFork Fox 36 Factory Series Float Grip2Fork Travel 170mmRear Shock Fox Series Float X2Rear Shock Travel 152mmBrakes SRAM Code RSC Disc Brakes  HydraulicShifters SRAM X01 Eagle MechanicalFront Derailleur Rear Derailleur SRAM X01 EagleCrankset SRAM X01 Eagle Carbon 30t 175 mmCassette SRAM XG1295 Eagle 12spd 1050tChain SRAMHandlebar Yeti Carbon 800 mmHeadset Cane Creek integratedStem Race Face Turbine Alloy 350 mm x 50mm 6°Seatpost Fox Transfer 309mmSeatpost Travel 125mmSaddle WTB Yeti CRMOFront Axle Spacing 15x110mm Boost ThruAxleRear Axle Spacing 12x148mm Boost ThruAxleWheelset DT Swiss XMC 1200 Spline Carbon DT Swiss 240s upgradedFront Tire Maxxis Minion DHF 275 x 25Rear Tire Maxxis Aggressor 275 x 23Pedals DMR Oil Slick LACONGeometryAEffective Top Tube 6052 mmBSeat Tube 4445 mmCSeat Tube Angle 73°DHead Tube Angle 649°EHead Tube 121 mmFStack 6045 mmGReach 4204 mmHStandover Height i7647 mm,
2019 Giant Trance 2 Small,Excellent,Aluminium,S,275  650B,150 mm,140 mm,2600 CAD,Revelstoke , British Columbia , Canada,These Giant Trance 2s from 2019 are in great shape after being used part of the 2019 season Fully serviced and maintained this bike may be the perfect candidate for your doitmost bike on a budget XSmall SOLD OUT Small x1 Medium SOLD OUT Large SOLD OUT XLarge SOLD OUT Retail price 3200 now on clearance pricing Tax will be applied to the sale Shipping at buyers expense Full specs available at httpswwwgiantbicyclescomcatrance2Feel free to give us a call at 250 8140090 for any questions and inquiries,
2018 Rocky Mountain Altitude A50 Large,Excellent,Aluminium,L,275  650B,160 mm,155 mm,3600 CAD,Revelstoke , British Columbia , Canada,Rocky Mountain Altitude A50 from 2018 barely used Sizes available Large Black Retail price of 4600 on on clearance for 3600 Price is firm shipping at buyers expense Tax will be applied to the sale Full specs available at httpswwwbikescomenbikesaltitude2019Feel free to give us a call at 250 8140090 for any questions and inquiries,
2019 Rocky Mountain Thunderbolt A30,New  DealerStore,Aluminium,XS,275  650B,130 mm,130 mm,2475 CAD,Revelstoke , British Columbia , Canada,2019 Rocky Mountain Thunderbolt A30 Only size available  XSmallRetail price 3300 now on clearance pricingTax will be applied to the saleShipping at buyers expenseFull specs available at httpswwwbikescomenbikesthunderbolt2019Price is firmFeel free to give us a call at 250 8140090 for more information,
2019 Rocky Mountain Altitude A50 Large,Excellent,Aluminium,L,275  650B,160 mm,155 mm,3600 CAD,Revelstoke , British Columbia , Canada,Rocky Mountain Altitude A50 Sizes available Large Black Retail price of 4600 on on clearance for 3600 Price is firm shipping at buyers expense Tax will be applied to the sale Full specs available at httpswwwbikescomenbikesaltitude2019Feel free to give us a call at 250 8140090 for any questions and inquiries,
2019 Rocky Mountain Instinct BC Edition A50 Medium,Good,Aluminium,M,29,160 mm,155 mm,3750 CAD,Revelstoke , British Columbia , Canada,Rocky Mountain Instinct BC Edition A50 Exrental bikes on for clearance Small sold Medium x1 Large sold XLarge sold Retail price 5000 now on clearance pricing Tax will be applied to the sale Shipping at buyers expense Full specs available at httpswwwbikescomenbikesinstinctbcedition2019Feel free to give us a call at 250 8140090 for any questions and inquiries,
2019 Rocky Mountain Pipeline A50 size S,New  DealerStore,Aluminium,S,275  650B,140 mm,140 mm,2450 USD,Salt Lake City , Utah , United States,AVAILABLE AT MILLCREEK LOCATIONRocky Mountain Pipeline A50 size S for 2450The redesigned Pipeline frame pushes the rear travel to 140mm increases stiffness adjusts the suspension kinematics for more efficient pedaling and better smallbump sensitivity and gives the frame a host of nextgeneration features The Pipeline plows through greasy roots and squareedged chunder with authority while providing near limitless traction on rocky slippery climbs140mm x 140mm travelSRAM Eagle DrivetrainFox Float DPS EVOL Performance Shock275 WheelsTo check out this bike you must make an appointment httpscalendlycoml9millcreek or give us a call at 80146698802927 E 3300 S Salt Lake City Utah 84109,
2012 Ibis Mojo HD REDUCED,Good,Carbon Fiber,M,26,180 mm,160 mm,1900 CAD,Nelson , British Columbia , Canada,2012 Ibis Mojo HD Medium This bike has been very well cared for and has everything upgraded No cracks pivots are good Stanchions are clean with no nicks or scrapesRock Shox Totem coil 180 mmFox DHX RC4 Kashima shockCHRIS KING Bottom BracketCane Creek Angle SetChromag OSX bar and HiFi StemHope Tech V2 Brakes and rotors w braided linesINDUSTRY NINE front and rear hubs on Mavic 823 UST Tubeless rims Stans installedRace Face Six C Carbon Cranks with Envy 34 tooth single ringMRP Lopes ChainguideThomson Elite postWtb Silverado Carbon saddleSram X0 9 speed w XTR 1134 CassetteMaxxis Minon DHF TubelessExtra parts included Fox RP23 stock rear air shock Ibis replacement hanger cable mounts seat collar spare headset angle cups,
2018 Cannondale Trigger 2 Carbon,Good,Carbon Fiber,L,275  650B,150 mm,145 mm,3500 CAD,Canmore , Alberta , Canada,2018 Cannondale Trigger Carbon 2  AllMountain 275 MSRP 8000Purchased as a demo and only ridden for 1 season Has some cosmetic scratches etc but runs smooth and has been maintained regularly Will be doing a full maintenance check before selling as well This bike is fast snappy and is ideal for anything from cross country to enduro I learned to ride on this bike so it hasnt been ridden too hard Mostly blue trails with the odd black here and there Awesome on descents and handles any climbCarbon front triangle carbon cranks carbon handlebars carbon swingarm carbon shock link fox 34 elites gemini rear shock eagle X01 12speed all make this bike an awesome allmountain buildfull spec list httpswwwcannondalecomenCanadaBikeProductDetailIdc87a7a0314604ce8a270baab9b294955parentidundefinedMain Specs frame 145mm travel BallisTec Carbon front triangle SmartForm C1 Alloy swingarm carbon shock link Ai offset drivetrain ISCG05 PF30 flat mount brake tapered headtube fork Fox Float 34 Performance Elite 275 150mm Fit 4 3pos Adj 110x15 tapered steerer 44mm offset rear shock Fox Float X Performance Elite EVOL w Gemini remoteactuated dual mode air spring system Flow Mode  145mm  Hustle Mode  115mm 3Pos lever crankset Truvativ Descendant Carbon Eagle BB30 w custom Ai offset 30t rims WTB Frequency Team i29 29mm inner TCS Tubeless Ready 275 32h tires rear is tubeless I might swap the front to tubeless as well Maxxis Minion DHF 275x23 front DHR II 23 rear 3C Compound EXO puncture protection folding  Tubeless Ready brakes SRAM Guide RS hydro disc Centerline rotors 180180mm derailleur and shifters are SRAM X01 Eagle 12speed 50tooth granny gear for the tough climbsHas raceface atlas pedals available for an extra 100 MSRP 2003500 OBO Open to offers let me know Contact me for more photos  questions or to take a lookJaden,
2019 Scott Genius 900 Tuned,Excellent,Carbon Fiber,L,29,150 mm,150 mm,4100 USD,Salt Lake City , Utah , United States,2019 Scott Genius 900 Tuned size Large in gloss orange with green accenting EXCELLENT condition I LOVE this bike This bike can do everything and more  from Deer Valley DH days to riding The Wasatch Crest Trail and anything you can think of in between this bike does it Its the best all around bike Ive ever ridden and itll be that for you too Its been well taken care of and maintained after every ride regular tuneups and maintenance Minor cosmetic scuffs on the frame This girl is a beauty and needs someone to ride her and love her like I did 4100 OBOSpecifications• Retail Price 6999• Frame and build Scott Genius 900 Tuned top build• Model Year  2019• Riding Type All MountainTrail• Travel  FIT4 150mm  Float 150mm w Twin lockout• Wheel Size  29” boost spacing• Frame Material  Carbon Fiber• Rear Travel 150mm• Rear Shock FOX Factory Float Nude Evol w Kashima Coating and ramp adjust• Fork  FOX Factory 34 wKashima coating• Handlebar  Carbon Syncros Bars Original Syncros grips• Brakes Sram Guide RSC w 180mm rotors• Drivetrain 1x12• Shifters Sram X01• Rear Derailleur Sram X01 12 speed• Cranks Sram X01 Carbon w booties• Cassette Sram X01• Wheels Syncros 15 Alloy with Syncros hub boost spacing• Tires WTB 25 Vigilante Front WTB Trailboss Back• Saddle Syncros• Seatpost Fox Transfer Dropper w Kashima coating 150mm• Bottle Cage Mounts 1,
2018 Diamondback Addalyn Comp Size small,Good,Aluminium,S,275  650B,130 mm,100 mm,450 USD,Bay Area , California , United States,This is a Diamondback Addalyn Comp 2018 It is in good conditionPartsMinion DHF and WTB trail boss both 275 by 23 Rockshox recon rl fork Rockshox monarch shock Diamondback Blanchard rims Gx shifter with Nx derailleur cassette and cranks 11 speed Ks dropper post Sram level t brakes Raceface Chester pedals Raceface respond bars 10 mm rise,

2017 YT Jeffsy 27 CF1  Large,Excellent,Carbon Fiber,L,275  650B,150 mm,150 mm,2600 USD,Miami , Florida , United States,2017 YT Industries Jeffsy 27 CF1Size LargeOriginal specs and geometry in last two pictures of this postAll components are as the build came unless indicated otherwise I tried to include as much information on this post as possible but if you have any questions let me know Shock was replaced by a Fox DPX2 Performance Elite same as fox factory without kashima coating Pike with DebonAir Air Spring Upgrade Larger negative chamber Maxxis Minion DHF 25 WT EXO TR MaxxTerra Front Very much ridable definitely not new 60 life Maxxis Minion SS 23 EXO TR DualCompound Rear As close to new as possible Roughly 6 days of riding on it Stans Tubeless Valves and Sealant front and rear RWC Stainless steel bottom bracket Absolutely no creaking RaceFace Chester Pedals RaceFace Turbine R 1x Dropper Lever E13 TRS Race SL Chainguide Cane Creek 40 Headset SRAM Guide Steel Backed Sintered Compound pads FR ODI Rogue grips SDG Components Fly MTN CroMo Saddle  133mm Brake fluid completely flushed and replaced Sept 2019 New Rotors Cassette  Derraileur in July 2019 Rear wheel replaced by E13 TRS in Oct 2019 Original hub creaked  E13 warrantied it All frame  pivot bearings replaced Aug 2019Bike has a few regular scratches  blemishes from shoe and cable rub from normal usage no major crashes or any issues at all You can buy and ride this right away Everything is visible in the pictures I made sure to take pictures of all the detailsSpares Maxxis Minion DHF 23 EXO TR MAxxTerra Worn but usable YT Thirstmaster 3000 bottlecage and 1 water bottle 1 Set of SRAM Brake pads,
2018 Marin Rift Zone 2,Excellent,Aluminium,S,29,120 mm,120 mm,1550 USD,Ketchum , Idaho , United States,2018 Marin Rift Zone 2  bought for my girlfriend in May of 2019 It has been a great entry level bike for her  not many miles on it really only 5 months of riding weekends She is moving onto an enduro rig so no need for it anymore Most of the components are stock except the tires minion dhf front 29x25 and maxxis dissector 29x24 are new and setup tubeless Front left brake lever was replaced after a slideout crash but caliper is the same The small chips off the paint shown on the drive side chainstay happened during shipping  but it is an alloy bike The front rotor was replaced with something sturdier than the stock one as well All the other scratches are from riding but totally cosmetic Bike has been kept indoors its whole life and maintained cleaned by me constantly Lived in socal or norcal for its whole life so very little wet ridingStock parts can be found at marins site here httpswwwmarinbikescombikearchivebikes2018riftzone2Prior to saleCan include pedals and mudguard at the current price The oneup dropper on there will be taken off and the 100mm TransZ dropper it came with will be put back on We only got the longer drop because she is tall for the bike  most riders on it will need the shorter dropper to actually be at ride height The bars on the bike will be a set of raceface turbine 760mm bars 35mm diam with a 50mm raceface stem The carbon bars that are currently on there have some sketchy scratches so it wont be sold like thatWill only sell in person but there is a bit of wiggle room in the price Pickup in Ketchum,
2019 Trek Remedy 8 ‘19 ALL SIZES,Excellent,Aluminium,185,275  650B,160 mm,150 mm,2310 USD,Government Camp , Oregon , United States,All are the green seen in pictures except one of the small’s is in matte blackRented for less than 2 months during our first yearhalf year of biking operations Bikes have all been meticulously maintained frames wrapped in a removable thick 3m vinyl wrapping to protect from damage and we will tune the bike for your specsTimberline is currently closed with no road access so we can only show bikes by appointment only for those who are sure they want one Condition of bikes is so good I can’t imagine anybody not wanting them due to condition We’ll arrange a time to meet in welches for those ready to purchaseCheers,
2019 29r st stumpjumper expert specialized,Excellent,Carbon Fiber,M,29,130 mm,120 mm,3600 USD,Allentown , Pennsylvania , United States,Great conditionRidden a few timesSaddle in pic does not come with bikePeddles not included,
2019 Transition Smuggler Carbon GX,Excellent,Carbon Fiber,XL,29,140 mm,120 mm,4700 CAD,Cumberland , British Columbia , Canada,Bike is in excellent condition All stock with the following upgrades Chromag Phase 30 rear rim Cush Core in both wheelsRecent full service in February new Maxxis Minion DHR front tire and full fork and shock service Regularly serviced prior to that Can include a nearly new Minion SS rear tire if desired This is an amazing bike Im selling to buy another Transition They nailed the geo and build kit with this one,
2019 Specialized Stumpjumper Pro Evo 29 upgraded S2,Excellent,Carbon Fiber,M,29,150 mm,153 mm,3750 USD,Salt Lake City , Utah , United States,Selling my Stumpy Evo I absolutely love the bike but havent ridden it as much as I hoped to Strava says it has just over 500mi and it has been impeccably maintained The frame is protected with AMS honeycomb frame protection on all of the crucial areas and has extremely minimal scuffing It is almost perfect Fork has some small scuffs on the lowers but the stanchions are perfect The wheels came from my previous bike and have more cosmetic damage but no cracks whatsoever and spin straight and true I recently did a full tension check and the spoke tension is completely even ready for plenty more milesFreshly installed XX1 Eagle chain metal brake pads and new XTR rotors Hasnt been ridden since install of these partsComplete bike weighs 305lbsBuild specsFrame  Specialized Stumpjumper Evo Pro Carbon S2 full carbon same layup as SworksFork  Fox 36 Grip2 150mm fresh oil and sealsShock  Rockshox Super Deluxe Ultimate 210x55 extends rear travel to 154mm new in AugustWheels  Nox Farlow carbon Enduro rims laced to Onyx Racing hubs rear hub recently updated with new axle and bearingsTires  Specialized Butcher Grid 29x26 F and Specialized Eliminator Grid 26 rear both setup tubeless with cushcore in rear tire Both have almost full tread replaced back tire at the beginning of August and have ridden 6 times sinceCranks  X01 Eagle Carbon 170mmChain  XX1 eagle blackShifter Cassette Derailleur  GX eagle shifts straight and smoothBrakes  Sram Code RSC fresh bleeds with plenty of pad leftSaddle  Specialized Phenom Expert 142mm with Ti railsSeatpost  BikeYoke Revive 349x160mm with Specialized SRL leverStem  Deity Copperhead 316 35mm length platinumBars  Deity DC31 Carbon with Stealth graphics uncut 787mm bars have pretty heavy cosmetic damage but only scratches to the clearcoatGrips  ODI Elite Pro black,
