Title,Condition,Material,Frame Size,Wheel Size,Front Travel,Rear Travel,Price,City,State/Prov,Country,Description
2017 Devinci Spartan XX1 Carbon  Large,Excellent,Carbon Fiber,L,275  650B,160 mm,160 mm,2800 CAD,Comox , British Columbia , Canada,Here is a meticulously maintained Enduro beast2017 Devinci Spartan Carbon Team Issue  New BearingsFull XX1 drive train  all carbon fibreRock Shop Lyric fork 160mm  Fresh rebuildFox DH X2 or a Rock Shot air rear shock  Fresh rebuildEaston Havoc WheelsSram Guide RS Brakes  Fresh pads and bleedMaxxis tiresRenthal BarsAll work done by certified mechanics at Mountain City Cycles If you want the bike viewed there or at any other bike shop that is fine by mePrice is dependant on the rear shock 3k with the Fox and 2800 with the air shock,


2018 Cannondale trigger Medium,Excellent,Carbon Fiber,M,275  650B,150 mm,145 mm,2500 USD,San Diego , California , United States,Cannondale trigger 2018 Mediumcarbon fiberFork fox elite 34 150 mmShock fox Gemini 145 mmTires maxxis tires dhf dhr 235Dropper post racefaceBrand new Gx Eagle derailleur cassete and shifterBrakes Sram guide2450 or best offerBuyers pay shipping and paypal fee,
2017 Santa Cruz bronson cc xt build Large,Good,Carbon Fiber,L,275  650B,160 mm,150 mm,3199 USD,San Diego , California , United States,Santa Cruz bronson cc 2017 pretty good conditionsFork fox rhythm 34 160 mmShock rockshox monarch rt 150 mmWheels spank oozy trail 395Tires maxxis high roller II 275x24Brakes shimano xtCrankset shimano xt 1x11 brand new cassette gold chainHandlebar kore torsion 780 mmAsking 3250 or best offerBuyers pay paypal fee and shippingpedals not included,
2014 Yeti ASR 5 Alloy,Good,Aluminium,M,26,150 mm,130 mm,1000 USD,Charlotte , North Carolina , United States,Yeti ASR 5 alloy front triangle with carbon rear triangle Nicely specced bike has a few issuesIssuesRear hub missing engagement points likely due to pawl springs worn out or broken is my best guess Not a mechanic so not sureBars are slightly bentComponentsI9 wheelsPnw Cascade 150 dropperFox 34 travel adjust kashimaFox float CTD rear shockAvid XO trail brakesSram 1x converted X9 shifting,
2019 Trek Stache,Excellent,Aluminium,185,29,120 mm,0 mm Hardtail,1450 USD,Springfield , Ohio , United States,20192020 Trek stache size ML purchased a year ago started out as a 2019 Stache 5 four months ago frame was updated and upgraded to a 2020 Stache 7 Trek replacement the new frame only has 2 rides on it Bike is in exc condition Has all shimano components dropper post and 29x3 plus tires set up tubeless also have tubes that go with it End of November had a tune up And it hasn’t been ridden since With full tune up also had headset bearing replaced bottom bracket replaced and all new wheel bearings installed I want to do ZWIFT so also accepting partial trade for indoor trainer that accepts the wheel on the bike asking 1450 obo Any questions or if you need more pics please ask pedals not included Shipping is a possibility depending on deal,
2019 Yeti SB150 XO1 Fox Float X2 wRoval Carbon,Excellent,Carbon Fiber,M,29,170 mm,150 mm,5400 USD,Arvada , Colorado , United States,I won’t sell this bike for 05399 so don’t askTurq Frame the bike comes with a FOX Float X2 I swapped several brand new parts off my new bike onto the Yeti including the wheels I can sell the Push for an additional amountPurchased new in August 2019 from my LBS I haven’t been riding this bike since this fall This bike comes with brand new take off Roval Carbon WheelsFRAME 2019 Yeti SB150 TURQ Carbon 150mm 12x148mmFORK Fox Factory 36 GRIP 2 170mm not picturedREAR SHOCK Fox Factory Float X2HEADSET Cane Creek 40 InsetSHIFTERS SRAM XO1 EagleREAR DERAILLEUR SRAM X01 EagleCRANKSET SRAM X01 Carbon Eagle 30tBOTTOM BRACKET SRAM DUB BB92PEDALS NACHAIN SRAM GX EagleCASSETTE SRAM 1275 Eagle 1050tBRAKES Shimano XTWHEELSET Roval Carbon WheelsFRONT TIRE Specialized Butcher 26 2blissREAR TIRE Specialized Butcher 23 2blissHANDLEBAR SpecializedSTEM Race Face Aeffect R 35 40mm lengthGRIPS Ergon GE1SEATPOST Fox TransferSEATCLAMP YetiSADDLE WTB Custom VoltINTENDED USE Enduro Trail,
2019 Trek Remedy 99  Matte Dnister Black,Excellent,Carbon Fiber,175,275  650B,160 mm,150 mm,4200 USD,White Salmon , Washington , United States,Selling my 2019 Trek Remedy 99 in 175 This has been an amazing bike I’ve had the bike for about a year and a half and taken very good care of it There are a couple rock dings on the frame but nothing major Its had a frame protector on the downtube top tube chainstays and seatstay most of its lifeI just put a brand new rear shock on it and it had a recent tune up  running great Comes with 2 sets of tires the original Bontrager SE4 Team Issue tubeless ready 275x260 and the Maxxis tires that are currently on it I also installed the oneUp EDC tool in the steer tube includedDetails below  Thanks175 trek remedy 99Frame OCLV Mountain Carbon main frame and stays EVO link Mino Link Control Freak internal routing down tube guardRear Travel  150mmFork Travel  160mmRear Shock  RockShox Deluxe RT3 REaktiv with Thru Shaft 3position damper brand NewFork  FOX Factory 36 Float GRIP2 damper tapered steerer Boost110 G2 Geometry with 46mm offsetHeadset  Knock Block Integrated sealed cartridge bearing 118 top 15 bottomOneUp EDC tool includedHandlebar  Bontrager Line Pro OCLV Carbon 35mm diameter 275mm rise 780mm widthStem  Bontrager Line Pro Knock Block 35mm clamp 0 degreeGrips  Sensus lock onBrakes  Shimano Deore XT M8020 4piston hydraulic discBrake Levers  Shimano Deore XTDrivetrain  1xShifters  SRAM X01 Eagle 12speedRear Derailleur  SRAM X01 Eagle Roller Bearing ClutchCranks  SRAM X01 Eagle DUBChainrings  SRAM Eagle 32 tooth direct mountBottom Bracket  SRAM DUB Press Fit 92mmPedals  None includedChain  SRAM GX EagleCassette  SRAM XG1275 Eagle 1050 tooth 12speedRims  Bontrager Line Carbon 30 wheels tubelessHubs Bontrager Line Carbon 30 wheels 54 tooth Rapid Drive Boost110 front Boost148 rearSpokes  Bontrager Line Carbon 30 wheelsTires  Maxxis DHF and Maxxis AgressorSaddle  Bontrager Arvada austenite railsSeatpost  OneUp  150mm dropperSeatpost Diameter  316mmSeatpost Clamp  Standard single boltRear Dropout  Hub Dimensions  Boost 12mm x 148mmColor  Matte Dnister Black,
2018 Trek Fuel EX 275 Plus Full Suspension Mountain Bike,New  Owner,Aluminium,185,275  650B,140 mm,1400 CAD,Firm No Trades Will ship globally,Toronto , Ontario , Canada,2018 Trek Fuel EX 275 Plus Full Suspension Mountain Bike Size 185 Matte BlackSpecificationsFramesetFrameAlpha Platinum Aluminium ABP Boost148 Knock Block steerer stop Full Floater EVO link E2 tapered head tube Mino Link Control Freak internal routing downtube guard PF92 ISCG 05 G2 Geometry 130 mm travelForkFox Rhythm 34 Float GRIP adjustable damper E2 tapered steerer G2 Geometry w51 mm offset Boost110 140 mm travelRear suspensionFox Performance Float EVOL REaktiv 3position damper tuned by Trek Suspension Lab 210x525 mmWheelsFront hubBontrager sealed bearing alloy axle Boost110Rear hubBontrager sealed bearing alloy axle Boost148RimsSUNringlé Duroc 40 SL 28hole tubeless strips and valves includedTyresSchwalbe Nobby Nic Performance wAddix compound Tubeless Ready 275x280˝DrivetrainShiftersSRAM GX Eagle 12speedRear derailleurSRAM GX Eagle Roller Bearing ClutchCrankSRAM Descendant 6k Eagle 32T Direct Mount XSyncBottom bracketPF92CassetteSRAM XG1275 1050 12speedChainSRAM GX EaglePedalsNot includedComponentsSaddleBontrager Evoke 2 chromoly railsSeatpostBontrager Drop Line internal routing 316 mm 155 100 mm175  185 125 mm195  215 150 mmHandlebarBontrager Line 35 mm 15 mm rise 750 mm widthGripsBontrager Race Lite lockonStemBontrager Line Knock Block 35 mm clamp 0degree 60 mm lengthHeadsetKnock Block Integrated sealed cartridge bearing 118˝ top 15˝ bottomBrake setSRAM Guide R hydraulic disc,
2016 Intense Tracer Pro build carbon 275,Good,Carbon Fiber,L,275  650B,160 mm,160 mm,3400 USD,Portland , Oregon , United States,For sale is a 2016 Intense Tracer Pro buildFull carbon This bike weighs sub 29lbsSize LargeBike of the year 2016This bike rips downhill and pedals amazing up hillGood condition with normal wear and tear for mountain bikeJust performed full rebuild on the fork and rear shockMaxxis Minion DHF front and Maxxis Aggressor rearRockshox supsensionSRAM drivetrainSRAM brakesFox transfer dropper Wolf tooth leverPedals and seat not included Will install another seat thoughWill ship within the US at buyer expenseSee link for full detailshttpswwwevocomoutletmountainintensecyclestracer275cprocompletebikeFeel free to text me with any questions 50388333003400,
2015 Cannondale Jekyll Carbon Team,Excellent,Carbon Fiber,M,275  650B,160 mm,160 mm,2200 USD,Novato , California , United States,Selling my super clean 2015 Cannondale Jekyll This bike has been great to me and its an awesome ride Dont let the Lefty fork discourage you it is a great fork and has had zero issues Handles any terrain you could throw at it Bike has always been meticulously maintained and is ready to ride Call or text for more infoFrame Cannondale BallisTec HIMOD carbon wISCG03 tabs 15inch headtubeLinkage hardware is custom anodized green in picturesOriginal chainstay protecter wore out 3M tape is now wrapped around much better and quieter than original in my opinionFork Cannondale Lefty SuperMax Carbon PBR 20 160mm travel2Spring System already installed See link httpsstaticevanscyclescomproductionpdfmediahelprecallsUKLeftyMandatoryServiceBulletinEndUserCopypdfShock Fox DYAD RT2 16095mmtravel w remote leverWheelset WTB Frequency i25 Team Issue TCS tubeless ready Brand NewHubs Front Lefty SM Rear DT Swiss 350 142x12mmTires Front WTB Vigilante 23 Rear WTB Trail Boss 24 Brand NewCrankset Cannondale Hollowgram Si w Sram 30T ChainringBottom Bracket BB30Chain Sram 11speedCassette Sram XX1 1042T 11speedFront Derailleur NARear Derailleur Sram XX1 11speedShifter Sram XO1 11speedHandlebar Cannondale 3 Riser Alloy 780mmGrips Cannondale dual lockingStem FSA Gravity LightBrakes Shimano XT w 180mm Icetech rotorsSaddle Fabric ScoopSeatpost Raceface Turbine Dropper 150mm travelExtras Have 26 tooth and 28 tooth front chainrings if interested,
2019 Pivot Mach 55 Carbon Medium Pro XTXTR new wheels,Excellent,Carbon Fiber,M,275  650B,160 mm,140 mm,5400 CAD,Calgary , Alberta , Canada,Selling my 1 year old Pivot Mach 55 Carbon mountain bike Awesome bike excellent condition a few minor scratches 1 season of riding Retails for 8000 Please ask any questionsComes with stock wheels that have NEVER BEEN USED not wheels in picturesFull specs can be found herehttpswwwpivotcyclescomenbikemach55carbon1BuildAndPricePro XTXTR kitAdditional DetailsDT Swiss M1700 BRAND NEW  never been usedfork has just been servicednew brake padsnew chainBike is ready to go,
2019 Transition Sentinel 29 Size Large,Excellent,Carbon Fiber,L,29,160 mm,140 mm,3400 USD,Logan , Utah , United States,Lightly ridden Large 2019 Transition Sentinel Bike was built up from frame Clear bra kit installedWell maintainedThere are some small rock chips on the inside of the rear triangle from the tire flicking up rocks There were some paint issues with this modelyear from TransitionSram XO1 Carbon Cranks Derailleur Cassette Chain ChainringSram Code RSC BrakesStans Flow RimsReverb 170mm Dropper PostFox Float DPX2 ShockRockshox Lyric 160mm,
2018 Intense Carbine 29 Pro Build Size Large w Push Shock,Excellent,Carbon Fiber,L,29,160 mm,155 mm,3200 USD,Logan , Utah , United States,Size LargeBike 2018 Intense Carbine 29This bike climbs and smashes the descent I just got a new bike and need to get this one down the road A clear bra kit has been installed since the bike was newOriginal owner Great conditionJust put on a new chain new tires and serviced the fork linkage and headset Upgrades Push Industries ElevenSix Spring is for riders around 160 pounds give or takeRockshox Reverb 170mm dropper postEnve DH 800mm HandlebarsSad to see this bike go Do it all  any condition bikeCall or text with any questions,


2017 Trail Assassin Trek Fuel EX 99 custom build,Good,Carbon Fiber,215,29,140 mm,120 mm,3500 USD,Williamsport , Pennsylvania , United States,I am parting ways with my Fuel Ex 99 custom build trail assassin I built this frame up last year around this time and rode it for the season The Fuel is an absolute dream on the climbs and punches way above its weight on the descents I was pleasantly surprised about how capable this bike is on aggressive downhill segments The bike is running great and has minor cosmetic wear If you have any questions please feel free to reach outFrame Fuel Ex 99 Xl 215Fork Fox 34 140Bars Santa Cruz Carbon 800mmStem Race Face Affect 35Grips Santa Cruz Lock on  Brand NewBrakes Sram G2 RSCShifter Sram GX EagleDropper Trigger Wolf ToothRotors Sram Centerline 180Seatpost Fox Transfer 150mmSeat WTB Volt  Brand NewChainwheel Wolftooth 32tCrank Truvativ Descendant 6kDerailleur Sram GX Eagle 12 speedCassette Sram GX Eagle 12 speedHubs Hope Pro 4Tires Maxxis DHF 25 front Maxxis Agressor 25 rear,
2015 Intense Carbine,Excellent,Carbon Fiber,M,275  650B,150 mm,150 mm,2300 USD,Bellingham , Washington , United States,2015 Intense Carbine Original owner Started out as a Jenson Custom build and since then almost everything has been upgraded or replaced A lot of work been put in the last 6 months with less than a dozen rides on since including new tires new GX drivetrain not cranks new Easton freehub new brake pads with bleed headset and bearing serviceCarbon frameFox 34 factory kashima fit4 150mmCane Creek DB Coil 150mmEaston haven wheelset nonboostSram Guide RS brakes 4pistonShimano Icetech rotors 203mm front and rearRenthal bars 780mmRenthal apex stemSram GX derailleurSram GX 12sp eagle cassetteSram GX shifterRaceface 32t narrow wide chain ringOneUp chainguidebash guardRockshox reverb dropper postODI Troy Lee Designs gripsMaxxis Minion DHF 23 3C MT ExoMaxxis Minion DHR 24 3C MT DDPedals not includedBuyer pays PayPal fees and shipping  Shipped via BikeFlights,
2017 Trek Fuel EX 99,Excellent,Carbon Fiber,195,29,140 mm,140 mm,4900 CAD,Toronto , Ontario , Canada,Trek Fuel ex 99 in excellent condition Very well maintained in perfect running conditionOCLV Mountain Carbon main frame  1xspecific stays ABP Boost148 Knock Block steerer stop Full Floater EVO link E2 tapered head tube Mino Link Control Freak internal routing Carbon Armor PF92 ISCG 05 G2 Geometry upgraded to 140mm travelSize195WheelsBrand New DT Swiss M1825 Boost110 front Boost148 rear wheels with Nobby Nic TiresDrivetrainShiftersSRAM XX1 Eagle 12 speedRear derailleurSRAM XX1 Eagle Roller Bearing ClutchCrankSRAM XX1 Eagle 32T Direct Mount XSyncCassetteSRAM XG1295 1050 12 speedComponentsSaddleBontrager Evoke RXL carbon rails not shown in picture but its includedSeatpostBontrager Drop Line 125 underbar remote lever 2bolt head 316mm zero offset internal routingHandlebarBontrager Line Pro OCLV Carbon 35mm 15mm rise 750mm widthStemBontrager Line Pro Knock Block 35mm 0 degreeHeadsetKnock Block Integrated cartridge bearing sealed 118 top 15 bottomBrakesetSRAM Guide Ultimate hydraulic discColourMatte Trek BlackMetallic CharcoalComes with original saddle,
2019 Giant Trance 2 29 Small,New  DealerStore,Aluminium,S,29,130 mm,120 mm,2600 CAD,Revelstoke , British Columbia , Canada,These Giant Trance 2 29s from 2019 are in great shape after being used part of the 2019 season Fully serviced and maintained this bike may be the perfect candidate for your doitmost bike on a budgetSmall x1Retail price 3400 now on clearance pricingTax will be applied to the saleShipping at buyers expenseFull specs available at httpswwwgiantbicyclescomcatrance292Price is firmFeel free to give us a call at 250 8140090 for more information,
2015 I need a bigger frame XL Range C72,Good,Carbon Fiber,L,275  650B,160 mm,160 mm,2700 CAD,Port Moody , British Columbia , Canada,Full Spec herehttpswwwnorcocombikearchives2015rangec72Text me for more info and photosId like to move up a size to XL Im 62 This is a very well maintained 2015 Norco Range C72Serviced recentlyRear PivotFrontRear ShockNew TIresBrake PadsNew ChainUpgraded componentsCarbon Race Face handlebarRF Atlas StemCarbon sram crankset200mm RotorsOneUp Dropper v1 with lever WHEELS  NOBL TR33  new rubber too   NonBoostWould love to trade for a similar carbon enduro in size XLshoot me a text and I can send moreT,
